rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited
210,21,University of Toronto,88.6,210,77.5,28,94.1,15,92.8,81,96.1,103,90.7,123,Canada,"79,282",25.8,27%,56 : 44,17%,University of Toronto,"Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Sport Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geography,Other Health,Computer Science,Psychology,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Law,Sociology,Languages, Literature & Linguistics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Physics & Astronomy,Medicine & Dentistry,Chemistry,Education,Archaeology,Agriculture & Forestry",False,False
220,22,UCL,88.1,220,78.4,26,86.4,24,98.6,9,75.2,335,97.9,8,United Kingdom,"41,110",11.3,61%,59 : 41,21%,UCL ucl UCL,"Medicine & Dentistry,Sport Science,Law,General Engineering,Physics & Astronomy,Mathematics & Statistics,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Computer Science,Education,Architecture,Electrical & Electronic Engineering,Psychology,Other Health,Sociology,Biological Sciences,Geography,History, Philosophy & Theology,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Chemistry",False,False
230,23,University of Michigan-Ann Arbor,87.4,230,84.7,22,87.4,23,95.5,45,80.7,255,69.0,422,United States,"45,783",8.1,16%,51 : 49,22%,University of Michigan-Ann Arbor,"Chemical Engineering,Accounting & Finance,Archaeology,Economics & Econometrics,Sociology,Psychology,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sport Science,Biological Sciences,Agriculture & Forestry,Civil Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Business & Management,Education,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Architecture,Chemistry,Medicine & Dentistry,Other Health,Art, Performing Arts & Design,Communication & Media Studies,Law",False,False
240,24,Carnegie Mellon University,86.3,240,75.0,32,84.6,26,98.9,6,87.3,182,85.5,185,United States,"13,562",11.9,44%,44 : 56,43%,Carnegie Mellon University,"Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Biological Sciences,Languages, Literature & Linguistics,Chemistry,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Chemical Engineering,Computer Science,Psychology,Mechanical & Aerospace Engineering,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,History, Philosophy & Theology,Physics & Astronomy",False,False
250,25,University of Washington,85.3,250,78.0,27,83.5,29,98.2,11,77.6,294,73.2,363,United States,"49,486",10.1,16%,56 : 44,20%,University of Washington,"Languages, Literature & Linguistics,Economics & Econometrics,Architecture,Art, Performing Arts & Design,Psychology,Mathematics & Statistics,General Engineering,Civil Engineering,History, Philosophy & Theology,Archaeology,Chemical Engineering,Education,Other Health,Law,Medicine & Dentistry,Mechanical & Aerospace Engineering,Sociology,Agriculture & Forestry,Chemistry,Geography,Accounting & Finance,Veterinary Science,Business & Management,Computer Science,Physics & Astronomy,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Electrical & Electronic Engineering",False,False
260,26,Duke University,83.9,260,79.3,24,76.1,41,96.2,36,100.0,6,74.8,332,United States,"15,527",3.9,18%,52 : 48,15%,Duke University,"Mechanical & Aerospace Engineering,Agriculture & Forestry,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Civil Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,Computer Science,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Communication & Media Studies",False,False
270,27,New York University,83.5,270,73.2,36,84.0,28,94.9,49,75.4,330,80.7,246,United States,"48,461",11.8,42%,58 : 42,21%,New York University,"Medicine & Dentistry,Mathematics & Statistics,Sociology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Archaeology,General Engineering,Art, Performing Arts & Design,Communication & Media Studies,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Economics & Econometrics,Biological Sciences,Chemistry,Other Health,Civil Engineering,Accounting & Finance,Psychology,Computer Science,Chemical Engineering,Education,Law,Architecture",False,False
280,28,Northwestern University,83.2,280,72.3,37,78.8,34,97.8,15,99.7,50,75.9,316,United States,"18,894",13.1,18%,52 : 48,18%,Northwestern University,"Civil Engineering,Medicine & Dentistry,Sport Science,Law,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Communication & Media Studies,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Architecture,Biological Sciences,Geography,Languages, Literature & Linguistics,Chemical Engineering,Psychology,Computer Science,Chemistry,Accounting & Finance,General Engineering,Physics & Astronomy,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Politics & International Studies (incl Development Studies)",False,False
290,29,The University of Tokyo,83.1,290,93.9,11,94.2,14,67.8,608,100.0,27,49.7,814,Japan,"26,345",10.3,15%,,35%,The University of Tokyo,"Other Health,Biological Sciences,Geography,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Mathematics & Statistics,Psychology,Architecture,Electrical & Electronic Engineering,Chemistry,Languages, Literature & Linguistics,Veterinary Science,Law,Computer Science,Sport Science,Education,Medicine & Dentistry,Chemical Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Archaeology,Civil Engineering,Sociology,Business & Management,Art, Performing Arts & Design,Agriculture & Forestry,Communication & Media Studies,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance",False,False
300,=30,University of Edinburgh,82.5,300,70.7,41,77.5,37,96.9,30,71.1,404,97.0,22,United Kingdom,"33,940",11.5,46%,61 : 39,24%,University of Edinburgh,"Physics & Astronomy,Biological Sciences,Mathematics & Statistics,Sport Science,Other Health,Education,Medicine & Dentistry,Business & Management,Chemical Engineering,Architecture,Economics & Econometrics,Politics & International Studies (incl Development Studies),Sociology,Civil Engineering,Computer Science,General Engineering,Geography,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Chemistry,Veterinary Science,Accounting & Finance,Psychology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Law,Art, Performing Arts & Design,Electrical & Electronic Engineering,Archaeology",False,False
310,=30,Technical University of Munich,82.5,310,69.8,44,85.1,25,90.0,128,100.0,26,83.1,209,Germany,"35,506",44.4,39%,37 : 63,36%,Technical University of Munich,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Business & Management,General Engineering,Mathematics & Statistics,Civil Engineering,Education,Physics & Astronomy,Computer Science,Agriculture & Forestry,Sociology,Chemical Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Sport Science,Other Health,Chemistry",False,False
320,32,"Nanyang Technological University, Singapore",82.3,320,66.2,52,80.9,32,94.5,54,99.7,49,93.3,78,Singapore,"25,895",16.7,27%,49 : 51,38%,"Nanyang Technological University, Singapore NTU Nan yang","General Engineering,Chemistry,Psychology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Computer Science,Geology, Environmental, Earth & Marine Sciences,Education,Art, Performing Arts & Design,Sport Science,Sociology,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Accounting & Finance",False,False
330,33,École Polytechnique Fédérale de Lausanne,81.4,330,74.5,33,73.2,50,90.3,120,99.8,40,95.8,33,Switzerland,"12,543",13.5,64%,30 : 70,44%,École Polytechnique Fédérale de Lausanne,"Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Biological Sciences,Chemistry,Mechanical & Aerospace Engineering,Architecture,Business & Management,Mathematics & Statistics,General Engineering,Computer Science,Physics & Astronomy",False,False
340,34,"University of California, San Diego",81.0,340,66.0,53,78.4,35,97.6,19,100.0,1,74.3,343,United States,"40,596",12.0,19%,45 : 55,21%,"University of California, San Diego","Other Health,Physics & Astronomy,General Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Civil Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Business & Management,Mathematics & Statistics,Chemical Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Accounting & Finance,Chemistry,Electrical & Electronic Engineering,Psychology,Education,Sociology,History, Philosophy & Theology",False,False
350,35,University of Hong Kong,80.3,350,65.6,55,72.3,52,96.4,35,95.2,116,96.8,23,Hong Kong,"18,103",18.3,43%,55 : 45,36%,University of Hong Kong,"Law,Economics & Econometrics,Communication & Media Studies,Civil Engineering,Art, Performing Arts & Design,Psychology,Mathematics & Statistics,General Engineering,Politics & International Studies (incl Development Studies),Geography,Architecture,Mechanical & Aerospace Engineering,Accounting & Finance,Chemistry,Agriculture & Forestry,Electrical & Electronic Engineering,History, Philosophy & Theology,Other Health,Biological Sciences,Sociology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Computer Science,Education,Business & Management,Medicine & Dentistry,Physics & Astronomy",False,False
360,36,Georgia Institute of Technology,80.0,360,63.4,63,78.9,33,94.1,57,94.6,123,84.8,191,United States,"32,079",28.0,29%,34 : 66,43%,Georgia Institute of Technology,"Chemical Engineering,Other Health,Languages, Literature & Linguistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Biological Sciences,Geography,Communication & Media Studies,Architecture,Art, Performing Arts & Design,Sociology,General Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Economics & Econometrics,Business & Management,Mathematics & Statistics,Chemistry,Psychology,Civil Engineering,History, Philosophy & Theology",False,False
370,37,University of Melbourne,79.2,370,64.8,57,76.4,40,90.1,126,98.3,84,92.7,90,Australia,"51,307",25.1,47%,58 : 42,18%,University of Melbourne UniMelb Australia,"Other Health,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering,Civil Engineering,Accounting & Finance,Chemical Engineering,Mathematics & Statistics,Sociology,Archaeology,Computer Science,Geography,Languages, Literature & Linguistics,Law,Physics & Astronomy,General Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Business & Management,History, Philosophy & Theology,Chemistry,Architecture,Education,Medicine & Dentistry,Veterinary Science,Agriculture & Forestry,Communication & Media Studies,Psychology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering",False,False
380,=38,King’s College London,79.0,380,59.8,74,75.1,47,97.7,17,74.2,347,97.5,13,United Kingdom,"32,835",13.9,53%,63 : 37,12%,King’s College London,"Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Education,Art, Performing Arts & Design,Physics & Astronomy,Business & Management,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Electrical & Electronic Engineering,Sociology,Archaeology,General Engineering,Economics & Econometrics,Other Health,Chemistry,Law,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Sport Science,Geography,Languages, Literature & Linguistics,Biological Sciences,Accounting & Finance,Computer Science,Communication & Media Studies",False,False
390,=38,LMU Munich,79.0,390,65.3,56,76.8,38,92.2,89,100.0,15,76.9,299,Germany,"34,622",33.5,18%,62 : 38,21%,LMU Munich Ludwig-Maximilians-Universität München,"Biological Sciences,Geography,Computer Science,Law,Veterinary Science,Sociology,History, Philosophy & Theology,Chemistry,Business & Management,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Psychology,Archaeology,Physics & Astronomy,Economics & Econometrics,Art, Performing Arts & Design,Mathematics & Statistics,Communication & Media Studies,Other Health,Education,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,False
400,40,Paris Sciences et Lettres – PSL Research University Paris,78.5,400,75.7,31,72.8,51,83.2,253,99.7,51,81.6,232,France,"16,120",15.0,22%,51 : 49,30%,Paris Sciences et Lettres – PSL Research University Paris,"Biological Sciences,Law,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Computer Science,Mathematics & Statistics,Economics & Econometrics,Mechanical & Aerospace Engineering,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sociology,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance,Other Health,Politics & International Studies (incl Development Studies),Archaeology,Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Geography",False,False
410,41,University of British Columbia,78.0,410,62.5,66,76.6,39,90.5,118,76.7,304,95.0,49,Canada,"58,987",19.4,34%,55 : 45,21%,University of British Columbia,"Business & Management,Economics & Econometrics,Geography,Education,Civil Engineering,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Agriculture & Forestry,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,Sociology,Chemical Engineering,Electrical & Electronic Engineering,Law,Mathematics & Statistics,Sport Science,General Engineering,Architecture,Medicine & Dentistry",False,False
