ticker,company_name,directorid,directorname,rolename,datestartrole,dateendrole,qualification,valid_start,valid_end,university,uniscoreavg
AOS,A. O. Smith,375137.0,Doctor Will Roach,Interim Chairman/Interim CEO,2017-11-20,2018-11-29 00:00:00.000000,PEng,2017.0,2018.0,AGH University of Science and Technology,17.925
AOS,A. O. Smith,484111.0,Ajita Rajendra,Chairman/CEO,2017-06-01,2018-09-01 00:00:00.000000,BS,2017.0,2018.0,Indian Institute of Technology Bhubaneswar,28.169999999999998
AOS,A. O. Smith,375137.0,Doctor Will Roach,Interim Chairman/Interim CEO,2017-11-20,2018-11-29 00:00:00.000000,Chartered Engineering,2017.0,2018.0,,
AOS,A. O. Smith,375137.0,Doctor Will Roach,Interim Chairman/Interim CEO,2017-11-20,2018-11-29 00:00:00.000000,BSc (Hons),2017.0,2018.0,Swansea University,41.6875
AOS,A. O. Smith,484111.0,Ajita Rajendra,Chairman/CEO,2017-06-01,2018-09-01 00:00:00.000000,AMP,2017.0,2018.0,Harvard University,93.73076923076923
AOS,A. O. Smith,1695045.0,Binh Vu,Interim President/CEO,2012-07-10,2014-04-30 00:00:00.000000,Bachelor's Degree,2012.0,2014.0,University of Toronto,83.32307692307693
AOS,A. O. Smith,220675.0,Paul Jones,Chairman/President/CEO,2005-12-31,2011-09-01 00:00:00.000000,BS,2005.0,2011.0,University of Seville,22.925
AOS,A. O. Smith,55112.0,Bob O'Toole,President/CEO,1989-03-01,1992-03-31 00:00:00.000000,,1989.0,1992.0,Centrale Nantes,40.33
AOS,A. O. Smith,1695045.0,Binh Vu,Interim President/CEO,2012-07-10,2014-04-30 00:00:00.000000,Master of Taxation,2012.0,2014.0,University of Waterloo,51.7
AOS,A. O. Smith,1695045.0,Binh Vu,President/Interim CEO/Corporate Secretary,2014-04-30,2016-12-06 00:00:00.000000,Bachelor's Degree,2014.0,2016.0,University of Toronto,83.32307692307693
AOS,A. O. Smith,375137.0,Doctor Will Roach,Interim Chairman/Interim CEO,2017-11-20,2018-11-29 00:00:00.000000,Masters in Management (MIM),2017.0,2018.0,,
AOS,A. O. Smith,1302544.0,Kevin Wheeler,Chairman/President/CEO,2020-05-01,2024-02-24 19:51:12.077660,Bachelor's Degree,2020.0,2024.0,AGH University of Science and Technology,17.925
AOS,A. O. Smith,484111.0,Ajita Rajendra,President/CEO,2013-01-01,2014-04-07 00:00:00.000000,MBA,2013.0,2014.0,Carnegie Mellon University,80.11538461538461
AOS,A. O. Smith,484111.0,Ajita Rajendra,Chairman/President/CEO,2014-04-07,2017-06-01 00:00:00.000000,AMP,2014.0,2017.0,Harvard University,93.73076923076923
AOS,A. O. Smith,484111.0,Ajita Rajendra,Chairman/President/CEO,2014-04-07,2017-06-01 00:00:00.000000,MBA,2014.0,2017.0,Carnegie Mellon University,80.11538461538461
AOS,A. O. Smith,484111.0,Ajita Rajendra,Chairman/CEO,2017-06-01,2018-09-01 00:00:00.000000,MBA,2017.0,2018.0,Carnegie Mellon University,80.11538461538461
AOS,A. O. Smith,1831347.0,Richard Thompson,President/CEO,2016-12-06,2017-11-03 00:00:00.000000,BSc (Hons),2016.0,2017.0,University of Manitoba,36.6
AOS,A. O. Smith,220675.0,Paul Jones,Chairman/CEO,2011-09-01,2013-01-01 00:00:00.000000,BS,2011.0,2013.0,University of Seville,22.925
AOS,A. O. Smith,1695045.0,Binh Vu,President/Interim CEO/Corporate Secretary,2014-04-30,2016-12-06 00:00:00.000000,Master of Taxation,2014.0,2016.0,University of Waterloo,51.7
AOS,A. O. Smith,55112.0,Bob O'Toole,Chairman/CEO,2003-01-01,2005-12-31 00:00:00.000000,,2003.0,2005.0,Centrale Nantes,40.33
AOS,A. O. Smith,1302544.0,Kevin Wheeler,President/CEO,2018-09-01,2020-05-01 00:00:00.000000,Bachelor's Degree,2018.0,2020.0,AGH University of Science and Technology,17.925
AOS,A. O. Smith,1695045.0,Binh Vu,Interim President/CEO,2012-07-10,2014-04-30 00:00:00.000000,LLB,2012.0,2014.0,Queen’s University,42.71666666666667
AOS,A. O. Smith,484111.0,Ajita Rajendra,President/CEO,2013-01-01,2014-04-07 00:00:00.000000,BS,2013.0,2014.0,Indian Institute of Technology Bhubaneswar,28.169999999999998
AOS,A. O. Smith,55112.0,Bob O'Toole,Chairman/President/CEO,1992-03-31,2003-01-01 00:00:00.000000,,1992.0,2003.0,Centrale Nantes,40.33
AOS,A. O. Smith,1695045.0,Binh Vu,President/Interim CEO/Corporate Secretary,2014-04-30,2016-12-06 00:00:00.000000,LLB,2014.0,2016.0,Queen’s University,42.71666666666667
AOS,A. O. Smith,375137.0,Doctor Will Roach,Interim Chairman/Interim CEO,2017-11-20,2018-11-29 00:00:00.000000,PhD,2017.0,2018.0,Swansea University,41.6875
AOS,A. O. Smith,484111.0,Ajita Rajendra,Chairman/President/CEO,2014-04-07,2017-06-01 00:00:00.000000,BS,2014.0,2017.0,Indian Institute of Technology Bhubaneswar,28.169999999999998
AOS,A. O. Smith,484111.0,Ajita Rajendra,President/CEO,2013-01-01,2014-04-07 00:00:00.000000,AMP,2013.0,2014.0,Harvard University,93.73076923076923
ABT,Abbott,1528777.0,Robert Ford,President/CEO,2020-03-31,2021-12-10 00:00:00.000000,MBA,2020.0,2021.0,"University of California, Berkeley",89.5076923076923
ABT,Abbott,1528777.0,Robert Ford,Chairman/CEO,2021-12-10,2024-02-24 19:51:12.077660,BA,2021.0,2024.0,Boston College,48.09615384615385
ABT,Abbott,1528777.0,Robert Ford,President/CEO,2020-03-31,2021-12-10 00:00:00.000000,BA,2020.0,2021.0,Boston College,48.09615384615385
ABT,Abbott,39851.0,Duane Burnham,Chairman/CEO,1990-01-01,1998-12-01 00:00:00.000000,MBA,1990.0,1998.0,University of Minnesota,66.3
ABT,Abbott,33500.0,Miles White,CEO,1999-01-01,1999-04-01 00:00:00.000000,MBA,1999.0,1999.0,Ahvaz Jundishapur University of Medical Sciences (AJUMS),35.775000000000006
ABT,Abbott,33500.0,Miles White,Chairman/CEO,1999-04-01,2020-03-31 00:00:00.000000,MBA,1999.0,2020.0,Ahvaz Jundishapur University of Medical Sciences (AJUMS),35.775000000000006
ABT,Abbott,39851.0,Duane Burnham,CEO,1989-01-01,1990-01-01 00:00:00.000000,BS,1989.0,1990.0,University of Minnesota,66.3
ABT,Abbott,39851.0,Duane Burnham,CEO,1989-01-01,1990-01-01 00:00:00.000000,MBA,1989.0,1990.0,University of Minnesota,66.3
ABT,Abbott,33500.0,Miles White,Chairman/CEO,1999-04-01,2020-03-31 00:00:00.000000,BS,1999.0,2020.0,Stanford University,94.06923076923077
ABT,Abbott,39851.0,Duane Burnham,Chairman/CEO,1990-01-01,1998-12-01 00:00:00.000000,BS,1990.0,1998.0,University of Minnesota,66.3
ABT,Abbott,33500.0,Miles White,CEO,1999-01-01,1999-04-01 00:00:00.000000,BS,1999.0,1999.0,Stanford University,94.06923076923077
ABT,Abbott,1528777.0,Robert Ford,Chairman/CEO,2021-12-10,2024-02-24 19:51:12.077660,MBA,2021.0,2024.0,"University of California, Berkeley",89.5076923076923
ABBV,AbbVie,33494.0,Rick Gonzalez,Chairman/CEO,2013-01-02,2024-02-24 19:51:12.077660,,2013.0,2024.0,Centrale Nantes,40.33
ACN,Accenture,492239.0,Pierre Nanterme,CEO Designate,2010-12-01,2011-01-01 00:00:00.000000,MS,2010.0,2011.0,Arak University of Medical Sciences,43.5
ACN,Accenture,142081.0,Bill Green,Chairman/CEO,2006-08-31,2011-01-01 00:00:00.000000,BS,2006.0,2011.0,Boston College,48.09615384615385
ACN,Accenture,1071350.0,Julie Sweet,CEO,2019-09-01,2021-09-01 00:00:00.000000,BA,2019.0,2021.0,Boston College,48.09615384615385
ACN,Accenture,142070.0,Joe Forehand Jr,Chairman/CEO,2001-07-19,2004-09-01 00:00:00.000000,MS,2001.0,2004.0,Duke University,82.08461538461538
ACN,Accenture,1071350.0,Julie Sweet,CEO,2019-09-01,2021-09-01 00:00:00.000000,JD,2019.0,2021.0,Columbia University,86.4076923076923
ACN,Accenture,142070.0,Joe Forehand Jr,Chairman/CEO,2001-07-19,2004-09-01 00:00:00.000000,BS,2001.0,2004.0,Auburn University,26.91875
ACN,Accenture,142081.0,Bill Green,CEO,2004-09-01,2006-08-31 00:00:00.000000,BS,2004.0,2006.0,Boston College,48.09615384615385
ACN,Accenture,142081.0,Bill Green,Chairman/CEO,2006-08-31,2011-01-01 00:00:00.000000,MBA,2006.0,2011.0,Boston College,48.09615384615385
ACN,Accenture,142081.0,Bill Green,CEO,2004-09-01,2006-08-31 00:00:00.000000,MBA,2004.0,2006.0,Boston College,48.09615384615385
ACN,Accenture,142070.0,Joe Forehand Jr,Chairman/CEO,2001-07-19,2004-09-01 00:00:00.000000,Doctorate (Hons),2001.0,2004.0,Purdue University Northwest,16.45
ACN,Accenture,142081.0,Bill Green,Chairman/CEO,2006-08-31,2011-01-01 00:00:00.000000,Attended,2006.0,2011.0,Government College University Faisalabad,34.4
ACN,Accenture,142081.0,Bill Green,CEO,2004-09-01,2006-08-31 00:00:00.000000,Doctor of Law,2004.0,2006.0,Boston College,48.09615384615385
ACN,Accenture,506367.0,David Rowland,Interim CEO,2019-01-10,2019-09-01 00:00:00.000000,BS,2019.0,2019.0,Georgia Institute of Technology,75.3
ACN,Accenture,492239.0,Pierre Nanterme,Chairman/CEO,2013-02-01,2019-01-10 00:00:00.000000,MS,2013.0,2019.0,Arak University of Medical Sciences,43.5
ACN,Accenture,142081.0,Bill Green,Chairman/CEO,2006-08-31,2011-01-01 00:00:00.000000,Doctor of Law,2006.0,2011.0,Boston College,48.09615384615385
ACN,Accenture,1071350.0,Julie Sweet,Chair/CEO,2021-09-01,2024-02-24 19:51:12.077660,BA,2021.0,2024.0,Boston College,48.09615384615385
ACN,Accenture,142081.0,Bill Green,CEO,2004-09-01,2006-08-31 00:00:00.000000,Attended,2004.0,2006.0,Government College University Faisalabad,34.4
ACN,Accenture,1071350.0,Julie Sweet,Chair/CEO,2021-09-01,2024-02-24 19:51:12.077660,JD,2021.0,2024.0,Columbia University,86.4076923076923
ACN,Accenture,492239.0,Pierre Nanterme,CEO,2011-01-01,2013-02-01 00:00:00.000000,MS,2011.0,2013.0,Arak University of Medical Sciences,43.5
ADBE,Adobe Inc.,49351.0,Shantanu Narayen,Chairman/President/CEO,2017-01-27,2022-01-13 00:00:00.000000,BS,2017.0,2022.0,Osmania University,21.892857142857142
ADBE,Adobe Inc.,49351.0,Shantanu Narayen,Chairman/President/CEO,2022-01-13,2024-02-24 19:51:12.077660,MS,2022.0,2024.0,Bowling Green State University,26.46666666666667
ADBE,Adobe Inc.,49341.0,Bruce Chizen,CEO,2007-02-07,2007-11-30 00:00:00.000000,BS,2007.0,2007.0,Aalborg University,44.83125
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,President/CEO,1986-08-20,1989-04-01 00:00:00.000000,BS,1986.0,1989.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49341.0,Bruce Chizen,CEO/Acting CFO,2006-11-07,2007-02-07 00:00:00.000000,BS,2006.0,2007.0,Aalborg University,44.83125
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,Co-Chairman/CEO,1997-09-01,2000-12-01 00:00:00.000000,Degree (Hons),1997.0,2000.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49351.0,Shantanu Narayen,President/CEO,2007-12-01,2017-01-27 00:00:00.000000,MS,2007.0,2017.0,Bowling Green State University,26.46666666666667
ADBE,Adobe Inc.,49351.0,Shantanu Narayen,Chairman/President/CEO,2017-01-27,2022-01-13 00:00:00.000000,MS,2017.0,2022.0,Bowling Green State University,26.46666666666667
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,Chairman/CEO,1989-04-01,1997-09-01 00:00:00.000000,MS,1989.0,1997.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49351.0,Shantanu Narayen,President/CEO,2007-12-01,2017-01-27 00:00:00.000000,BS,2007.0,2017.0,Osmania University,21.892857142857142
ADBE,Adobe Inc.,49351.0,Shantanu Narayen,Chairman/President/CEO,2017-01-27,2022-01-13 00:00:00.000000,MBA,2017.0,2022.0,"University of California, Berkeley",89.5076923076923
ADBE,Adobe Inc.,49351.0,Shantanu Narayen,Chairman/President/CEO,2022-01-13,2024-02-24 19:51:12.077660,MBA,2022.0,2024.0,"University of California, Berkeley",89.5076923076923
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,President/CEO,1986-08-20,1989-04-01 00:00:00.000000,PhD,1986.0,1989.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,Chairman/CEO,1989-04-01,1997-09-01 00:00:00.000000,BS,1989.0,1997.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,President/CEO,1986-08-20,1989-04-01 00:00:00.000000,MS,1986.0,1989.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,Chairman/CEO,1989-04-01,1997-09-01 00:00:00.000000,PhD,1989.0,1997.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,Chairman/CEO,1989-04-01,1997-09-01 00:00:00.000000,Degree (Hons),1989.0,1997.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,Co-Chairman/CEO,1997-09-01,2000-12-01 00:00:00.000000,BS,1997.0,2000.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49341.0,Bruce Chizen,President/CEO,2000-12-01,2005-01-17 00:00:00.000000,BS,2000.0,2005.0,Aalborg University,44.83125
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,Co-Chairman/CEO,1997-09-01,2000-12-01 00:00:00.000000,MS,1997.0,2000.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49341.0,Bruce Chizen,CEO,2005-01-17,2006-11-07 00:00:00.000000,BS,2005.0,2006.0,Aalborg University,44.83125
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,President/CEO,1986-08-20,1989-04-01 00:00:00.000000,Degree (Hons),1986.0,1989.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49581.0,Doctor John Warnock,Co-Chairman/CEO,1997-09-01,2000-12-01 00:00:00.000000,PhD,1997.0,2000.0,University of Utah,51.150000000000006
ADBE,Adobe Inc.,49351.0,Shantanu Narayen,Chairman/President/CEO,2022-01-13,2024-02-24 19:51:12.077660,BS,2022.0,2024.0,Osmania University,21.892857142857142
ADBE,Adobe Inc.,49351.0,Shantanu Narayen,President/CEO,2007-12-01,2017-01-27 00:00:00.000000,MBA,2007.0,2017.0,"University of California, Berkeley",89.5076923076923
AMD,Advanced Micro Devices,203935.0,Dirk Meyer,President/CEO/COO,2008-07-17,2008-10-23 00:00:00.000000,MBA,2008.0,2008.0,Boston University,66.25384615384615
AMD,Advanced Micro Devices,542142.0,Doctor Lisa Su,Chair/President/CEO,2022-02-14,2024-02-24 19:51:12.077660,MS,2022.0,2024.0,Massachusetts Institute of Technology,93.44615384615385
AMD,Advanced Micro Devices,39251.0,Doctor Hector de Jesus Ruiz,President/CEO,2002-04-25,2004-04-29 00:00:00.000000,BA,2002.0,2004.0,University of Texas at Austin,73.39166666666667
AMD,Advanced Micro Devices,39251.0,Doctor Hector de Jesus Ruiz,Chairman/President/CEO,2004-04-29,2006-01-23 00:00:00.000000,BA,2004.0,2006.0,University of Texas at Austin,73.39166666666667
AMD,Advanced Micro Devices,512390.0,Thomas Seifert,Senior VP/CFO/Interim CEO,2011-01-10,2011-08-25 00:00:00.000000,Bachelor's Degree,2011.0,2011.0,University of Erlangen-Nuremberg,54.725
AMD,Advanced Micro Devices,512390.0,Thomas Seifert,Senior VP/CFO/Interim CEO,2011-01-10,2011-08-25 00:00:00.000000,Diploma,2011.0,2011.0,University of Erlangen-Nuremberg,54.725
AMD,Advanced Micro Devices,542142.0,Doctor Lisa Su,President/CEO,2014-10-08,2022-02-14 00:00:00.000000,BS,2014.0,2022.0,Massachusetts Institute of Technology,93.44615384615385
AMD,Advanced Micro Devices,39251.0,Doctor Hector de Jesus Ruiz,President/CEO,2002-04-25,2004-04-29 00:00:00.000000,MA,2002.0,2004.0,University of Texas at Austin,73.39166666666667
AMD,Advanced Micro Devices,512390.0,Thomas Seifert,Senior VP/CFO/Interim CEO,2011-01-10,2011-08-25 00:00:00.000000,MBA,2011.0,2011.0,University of Erlangen-Nuremberg,54.725
AMD,Advanced Micro Devices,542142.0,Doctor Lisa Su,Chair/President/CEO,2022-02-14,2024-02-24 19:51:12.077660,PhD,2022.0,2024.0,Massachusetts Institute of Technology,93.44615384615385
AMD,Advanced Micro Devices,203935.0,Dirk Meyer,President/CEO/COO,2008-07-17,2008-10-23 00:00:00.000000,BS,2008.0,2008.0,University of Illinois Chicago,43.7125
AMD,Advanced Micro Devices,70062.0,Jerry Sanders III,Chairman/CEO,1969-05-01,2002-04-25 00:00:00.000000,BS,1969.0,2002.0,University of Illinois at Urbana-Champaign,73.45384615384616
AMD,Advanced Micro Devices,512390.0,Thomas Seifert,Senior VP/CFO/Interim CEO,2011-01-10,2011-08-25 00:00:00.000000,MA,2011.0,2011.0,Wayne State University,37.05625
AMD,Advanced Micro Devices,39251.0,Doctor Hector de Jesus Ruiz,Chairman/President/CEO,2004-04-29,2006-01-23 00:00:00.000000,MA,2004.0,2006.0,University of Texas at Austin,73.39166666666667
AMD,Advanced Micro Devices,39251.0,Doctor Hector de Jesus Ruiz,Chairman/President/CEO,2004-04-29,2006-01-23 00:00:00.000000,PhD,2004.0,2006.0,Rice University,60.815384615384616
AMD,Advanced Micro Devices,39251.0,Doctor Hector de Jesus Ruiz,Chairman/CEO,2006-01-23,2008-07-17 00:00:00.000000,BA,2006.0,2008.0,University of Texas at Austin,73.39166666666667
AMD,Advanced Micro Devices,542142.0,Doctor Lisa Su,President/CEO,2014-10-08,2022-02-14 00:00:00.000000,PhD,2014.0,2022.0,Massachusetts Institute of Technology,93.44615384615385
AMD,Advanced Micro Devices,542142.0,Doctor Lisa Su,Chair/President/CEO,2022-02-14,2024-02-24 19:51:12.077660,BS,2022.0,2024.0,Massachusetts Institute of Technology,93.44615384615385
AMD,Advanced Micro Devices,542142.0,Doctor Lisa Su,President/CEO,2014-10-08,2022-02-14 00:00:00.000000,MS,2014.0,2022.0,Massachusetts Institute of Technology,93.44615384615385
AMD,Advanced Micro Devices,203935.0,Dirk Meyer,President/CEO/Principal Executive Officer,2008-10-23,2011-01-10 00:00:00.000000,MBA,2008.0,2011.0,Boston University,66.25384615384615
AMD,Advanced Micro Devices,1126646.0,Rory Read,President/CEO,2011-08-25,2014-10-08 00:00:00.000000,Bachelor's Degree,2011.0,2014.0,Government College University Faisalabad,34.4
AMD,Advanced Micro Devices,39251.0,Doctor Hector de Jesus Ruiz,Chairman/CEO,2006-01-23,2008-07-17 00:00:00.000000,PhD,2006.0,2008.0,Rice University,60.815384615384616
AMD,Advanced Micro Devices,39251.0,Doctor Hector de Jesus Ruiz,President/CEO,2002-04-25,2004-04-29 00:00:00.000000,PhD,2002.0,2004.0,Rice University,60.815384615384616
AMD,Advanced Micro Devices,203935.0,Dirk Meyer,President/CEO/Principal Executive Officer,2008-10-23,2011-01-10 00:00:00.000000,BS,2008.0,2011.0,University of Illinois Chicago,43.7125
AMD,Advanced Micro Devices,39251.0,Doctor Hector de Jesus Ruiz,Chairman/CEO,2006-01-23,2008-07-17 00:00:00.000000,MA,2006.0,2008.0,University of Texas at Austin,73.39166666666667
AES,AES Corporation,71147.0,Dennis Bakke,President/CEO,1994-01-01,2002-06-18 00:00:00.000000,MBA,1994.0,2002.0,Harvard University,93.73076923076923
AES,AES Corporation,452889.0,Doctor Andrés Gluski Weilert,President/CEO,2011-09-30,2024-02-24 19:51:12.077660,MA,2011.0,2024.0,University of Regina,27.087500000000002
AES,AES Corporation,71147.0,Dennis Bakke,President/CEO,1994-01-01,2002-06-18 00:00:00.000000,Graduated,1994.0,2002.0,Al-Farabi Kazakh National University,20.0
AES,AES Corporation,71237.0,Paul Hanrahan,President/CEO,2002-06-18,2011-09-30 00:00:00.000000,BS,2002.0,2011.0,"Arab Academy for Science, Technology and Maritime Transport",18.9
AES,AES Corporation,452889.0,Doctor Andrés Gluski Weilert,President/CEO,2011-09-30,2024-02-24 19:51:12.077660,BA (magna cum laude),2011.0,2024.0,Wake Forest University,44.46666666666667
AES,AES Corporation,38781.0,Roger Sant,Chairman/CEO,1991-06-25,1993-12-31 00:00:00.000000,BS,1991.0,1993.0,AGH University of Science and Technology,17.925
AES,AES Corporation,71147.0,Dennis Bakke,President/CEO,1994-01-01,2002-06-18 00:00:00.000000,Graduated (Hons),1994.0,2002.0,AGH University of Science and Technology,17.925
AES,AES Corporation,71147.0,Dennis Bakke,President/CEO,1994-01-01,2002-06-18 00:00:00.000000,Graduated,1994.0,2002.0,Harvard University,93.73076923076923
AES,AES Corporation,71237.0,Paul Hanrahan,President/CEO,2002-06-18,2011-09-30 00:00:00.000000,MBA,2002.0,2011.0,Harvard University,93.73076923076923
AES,AES Corporation,38781.0,Roger Sant,Chairman/CEO,1991-06-25,1993-12-31 00:00:00.000000,MBA (Distinction),1991.0,1993.0,Harvard University,93.73076923076923
AES,AES Corporation,452889.0,Doctor Andrés Gluski Weilert,President/CEO,2011-09-30,2024-02-24 19:51:12.077660,PhD,2011.0,2024.0,University of Regina,27.087500000000002
AFL,Aflac,36555.0,Dan Amos,President/CEO,1991-08-01,2001-05-01 00:00:00.000000,BS,1991.0,2001.0,University of Georgia,35.79375
AFL,Aflac,36555.0,Dan Amos,Chairman/CEO,2020-01-01,2024-01-01 00:00:00.000000,BS,2020.0,2024.0,University of Georgia,35.79375
AFL,Aflac,36555.0,Dan Amos,CEO,1990-08-01,1991-08-01 00:00:00.000000,BS,1990.0,1991.0,University of Georgia,35.79375
AFL,Aflac,36555.0,Dan Amos,Chairman/CEO,2001-05-01,2018-02-13 00:00:00.000000,BS,2001.0,2018.0,University of Georgia,35.79375
AFL,Aflac,36555.0,Dan Amos,Chairman/President/CEO,2018-02-13,2020-01-01 00:00:00.000000,BS,2018.0,2020.0,University of Georgia,35.79375
AFL,Aflac,36555.0,Dan Amos,Chairman/President/CEO,2024-01-01,2024-02-24 19:51:12.077660,BS,2024.0,2024.0,University of Georgia,35.79375
A,Agilent Technologies,598782.0,Mike McMullen,President/CEO,2015-03-18,2024-02-24 19:51:12.077660,MBA,2015.0,2024.0,University of Pennsylvania,85.97692307692309
A,Agilent Technologies,330699.0,Doctor John Weaver,President/CEO,1999-04-27,2007-10-29 00:00:00.000000,BS,1999.0,2007.0,AGH University of Science and Technology,17.925
A,Agilent Technologies,37261.0,Bill Sullivan,President/CEO,2013-09-18,2014-09-17 00:00:00.000000,BS,2013.0,2014.0,"University of California, Davis",68.40769230769232
A,Agilent Technologies,37206.0,Ned Barnholt,Chairman/President/CEO,2002-11-21,2005-03-01 00:00:00.000000,MS,2002.0,2005.0,Stanford University,94.06923076923077
A,Agilent Technologies,330699.0,Doctor John Weaver,President/CEO,1999-04-27,2007-10-29 00:00:00.000000,MS,1999.0,2007.0,AGH University of Science and Technology,17.925
A,Agilent Technologies,442088.0,Ron Oberlander,President/CEO,1990-01-01,1996-01-01 00:00:00.000000,BComm,1990.0,1996.0,Government College University Faisalabad,34.4
A,Agilent Technologies,37261.0,Bill Sullivan,CEO,2014-09-17,2015-03-18 00:00:00.000000,BS,2014.0,2015.0,"University of California, Davis",68.40769230769232
A,Agilent Technologies,335195.0,James Doughan,President/CEO,1997-01-01,1999-04-26 00:00:00.000000,BS,1997.0,1999.0,Yale University,89.43846153846154
A,Agilent Technologies,37206.0,Ned Barnholt,President/CEO,1999-11-18,2002-11-21 00:00:00.000000,MS,1999.0,2002.0,Stanford University,94.06923076923077
A,Agilent Technologies,330699.0,Doctor John Weaver,President/CEO,1999-04-27,2007-10-29 00:00:00.000000,PhD,1999.0,2007.0,AGH University of Science and Technology,17.925
A,Agilent Technologies,37206.0,Ned Barnholt,President/CEO,1999-11-18,2002-11-21 00:00:00.000000,BS,1999.0,2002.0,Stanford University,94.06923076923077
A,Agilent Technologies,37261.0,Bill Sullivan,CEO,2012-11-14,2013-09-18 00:00:00.000000,BS,2012.0,2013.0,"University of California, Davis",68.40769230769232
A,Agilent Technologies,37261.0,Bill Sullivan,President/CEO,2005-03-01,2012-11-14 00:00:00.000000,BS,2005.0,2012.0,"University of California, Davis",68.40769230769232
