ticker,roachange
ACSH,Slight Decrease
ACSI,Significant Decrease
ACSN,Moderate Increase
ACST,Slight Increase
ACSY,Slight Decrease
ACT,Slight Decrease
ACTA,Stable
ACTC,Slight Decrease
ACTG,Moderate Decrease
ACTI,Slight Decrease
ACTL,Moderate Increase
ACTM,Moderate Decrease
ACTN,Significant Increase
ACTP,Significant Increase
ACTR,Significant Decrease
ACTS,Moderate Decrease
ACTT,Slight Decrease
ACTU,Moderate Decrease
ACTV,Moderate Increase
ACTY,Moderate Decrease
ACU,Stable
ACUR,Significant Decrease
ACUS,Significant Decrease
ACUT,Significant Decrease
ACV,Stable
ACVA,Slight Increase
ACVC,Slight Decrease
ACW,Slight Decrease
ACX,Stable
ACXM,Moderate Decrease
ACXP,Significant Decrease
ACXT,Slight Increase
ACY,Significant Decrease
ACYT,Significant Increase
AD,Moderate Decrease
ADA,Stable
ADAC,Significant Increase
ADAM,Slight Increase
ADAP,Moderate Decrease
ADAR,Moderate Increase
ADAT,Significant Decrease
ADAX,Slight Decrease
ADB,Moderate Increase
ADBE,Significant Decrease
ADBL,Significant Increase
ADC,Slight Increase
ADCC,Significant Decrease
ADCIA,Significant Decrease
ADCO,Significant Decrease
ADCR,Stable
ADCT,Moderate Decrease
ADDC,Significant Increase
ADDM,Significant Decrease
ADDR,Moderate Increase
ADDS,Slight Decrease
ADE,Significant Increase
ADEP,Significant Decrease
ADES,Slight Decrease
ADEV,Stable
ADEX,Moderate Decrease
ADG,Significant Decrease
ADGE,Significant Increase
ADGF,Slight Increase
ADGN,Slight Decrease
ADGO,Stable
ADH,Slight Decrease
ADHC,Stable
ADI,Stable
ADIA,Moderate Increase
ADIC,Moderate Increase
ADIE,Slight Decrease
ADIL,Significant Decrease
ADIT,Moderate Increase
ADK,Moderate Increase
ADL,Moderate Increase
ADLA,Significant Increase
ADLI,Significant Decrease
ADLR,Significant Increase
ADLS,Significant Decrease
ADLT,Slight Decrease
ADM,Stable
ADMA,Significant Increase
ADMG,Moderate Increase
ADMP,Significant Decrease
ADMR,Slight Decrease
ADMS,Moderate Increase
ADMT,Significant Decrease
ADN,Significant Decrease
ADNC,Significant Decrease
ADND,Significant Increase
ADNEA,Slight Decrease
ADNI,Significant Decrease
ADO,Stable
ADP,Moderate Increase
ADPI,Slight Decrease
ADPT,Slight Increase
ADR,Significant Decrease
ADRI,Moderate Decrease
ADRO,Significant Decrease
ADRX,Slight Decrease
ADS,Stable
ADSC,Moderate Decrease
ADSI,Slight Decrease
ADSK,Stable
ADSN,Slight Increase
ADSO,Significant Increase
ADSP,Significant Decrease
ADST,Significant Decrease
ADSW,Stable
ADT,Stable
ADTC,Moderate Increase
ADTH,Slight Decrease
ADTK,Slight Decrease
ADTN,Moderate Decrease
ADTX,Significant Decrease
ADU,Moderate Increase
ADUC,Significant Decrease
ADUS,Slight Increase
ADV,Stable
ADVC,Moderate Decrease
ADVH,Significant Decrease
ADVL,Significant Increase
ADVM,Moderate Decrease
ADVN,Stable
ADVNB,Significant Decrease
ADVO,Stable
ADVP,Slight Increase
ADVS,Moderate Decrease
ADY,Slight Increase
ADYN,Significant Increase
ADZA,Moderate Decrease
AE,Moderate Decrease
AEA,Moderate Increase
AECE,Moderate Decrease
AECI,Slight Decrease
AEDC,Slight Decrease
AEE,Stable
AEGN,Slight Decrease
AEGR,Significant Decrease
AEH,Moderate Increase
AEHR,Moderate Increase
AEI,Moderate Increase
AEIC,Significant Decrease
AEIS,Moderate Decrease
AEL,Significant Increase
AELNA,Slight Decrease
AEMD,Slight Increase
AEN,Significant Increase
AENG,Moderate Increase
AEO,Moderate Increase
AEOK,Slight Decrease
AEOS,Stable
AEP,Slight Decrease
AEPI,Moderate Increase
AEQU,Slight Decrease
AER,Moderate Decrease
AERC,Moderate Increase
AERG,Significant Decrease
AERI,Significant Increase
AERL,Moderate Increase
AERN,Significant Decrease
AERS,Moderate Decrease
AERT,Moderate Increase
AERTA,Stable
AES,Slight Decrease
AESC,Slight Decrease
AESE,Moderate Increase
AESI,Significant Increase
AESM,Moderate Decrease
AESP,Slight Decrease
AEST,Significant Increase
AET,Stable
AETC,Slight Decrease
AETH,Slight Decrease
AETI,Moderate Increase
AEVA,Significant Decrease
AEX,Moderate Decrease
AEXP,Stable
AEY,Significant Decrease
AEYE,Significant Increase
AEZ,Significant Increase
AF,Slight Decrease
AFA,Slight Decrease
AFAM,Stable
AFAP,Slight Decrease
AFAS,Significant Decrease
AFB,
AFBC,Slight Decrease
AFBI,Slight Decrease
AFBK,Stable
AFC,Moderate Increase
AFCB,Stable
AFCE,Slight Decrease
AFCG,Slight Decrease
AFCI,Slight Decrease
AFCO,Slight Decrease
AFCX,Moderate Decrease
AFD,Moderate Increase
AFED,Slight Decrease
AFEX,Significant Decrease
AFFI,Moderate Increase
AFFM,Moderate Increase
AFFX,Moderate Increase
AFFY,Significant Decrease
AFG,Stable
AFGL,Moderate Increase
AFH,Slight Decrease
AFI,Moderate Decrease
AFIB,Moderate Increase
AFIC,Slight Decrease
AFIL,Moderate Increase
AFIS,Moderate Decrease
AFL,Stable
AFLT,Stable
AFLX,Significant Decrease
AFM,Slight Increase
AFN,Significant Decrease
AFOP,Moderate Decrease
AFP,Moderate Increase
AFPZ,Moderate Increase
AFRM,Slight Increase
AFS,Stable
AFSC,Slight Decrease
AFSI,Slight Decrease
AFT,Slight Decrease
AFTI,Significant Decrease
AFUR,Significant Decrease
AFWY,Moderate Increase
AFX,Moderate Increase
AG,Slight Decrease
AGA,Significant Decrease
AGAI,Significant Decrease
AGAM,Significant Decrease
AGAS,Moderate Decrease
AGC,Slight Decrease
AGCC,Moderate Decrease
AGCH,Slight Decrease
AGCO,Moderate Increase
AGD,Significant Increase
AGE,Significant Increase
AGEL,Moderate Increase
AGEN,Significant Decrease
AGFS,Slight Decrease
AGFY,Significant Decrease
AGG,Slight Decrease
AGH,Stable
AGI,Significant Decrease
AGIL,Slight Decrease
AGIO,Moderate Decrease
AGIS,Significant Increase
AGIX,Significant Decrease
AGL,Slight Decrease
AGLE,Moderate Increase
AGLF,Slight Decrease
AGLT,Slight Decrease
AGM,Moderate Increase
AGMC,Significant Decrease
AGMD,Significant Increase
AGMN,Moderate Increase
AGMT,Significant Decrease
AGN,Moderate Increase
AGNT,Moderate Decrease
AGNU,Slight Increase
AGO,Significant Decrease
AGP,Moderate Decrease
AGPC,Significant Decrease
AGPH,Significant Decrease
AGR,Slight Decrease
AGREA,Stable
AGRI,Moderate Increase
AGRPA,Slight Decrease
AGRS,Significant Increase
AGRX,Moderate Increase
AGS,Moderate Increase
AGSC,Moderate Increase
AGSI,Significant Decrease
AGSV,Slight Decrease
AGTC,Significant Decrease
AGTI,Slight Decrease
AGTO,Significant Increase
AGTX,Slight Decrease
AGV,Moderate Increase
AGX,Slight Decrease
AGY,Stable
AGYS,Stable
AH,Significant Increase
AHA,Significant Increase
AHAA,Significant Decrease
AHC,Slight Decrease
AHCC,Stable
AHCI,Slight Decrease
AHCO,Stable
AHCS,Slight Decrease
AHEC,Moderate Increase
AHG,Slight Decrease
AHH,Slight Decrease
AHI,Moderate Decrease
AHIC,Significant Increase
AHII,Moderate Increase
AHIS,Significant Decrease
AHL,Slight Increase
AHLS,Significant Increase
AHM,Slight Decrease
AHMC,Moderate Increase
AHMH,Slight Decrease
AHN,Slight Decrease
AHO,Slight Decrease
AHOM,Moderate Decrease
AHP,Moderate Increase
AHPI,Significant Decrease
AHS,Moderate Increase
AHST,Stable
AHTC,Significant Decrease
AHTH,Moderate Decrease
AHTL,Stable
AHTS,Moderate Decrease
AHWY,Significant Decrease
AHX,Slight Increase
AI,Moderate Decrease
AIC,Slight Decrease
AICO,Moderate Increase
AICP,Significant Decrease
AICX,Significant Increase
AID,Stable
AIDCA,Moderate Decrease
AIF,Moderate Increase
AIFC,Slight Increase
AIG,Slight Decrease
AIGR,Stable
AIH,Moderate Decrease
AIHI,Slight Decrease
AIHS,Moderate Increase
AII,Stable
AIII,Slight Increase
AIKI,Slight Decrease
AILP,Significant Decrease
AIM,Significant Decrease
AIMC,Stable
AIMD,Significant Increase
AIMM,Moderate Decrease
AIMS,Significant Increase
AIMT,Significant Decrease
AIMX,Significant Decrease
AIN,Slight Decrease
AINC,Slight Decrease
AIND,Moderate Decrease
AINN,Slight Decrease
AINS,Significant Decrease
AIP,Slight Decrease
AIPC,Moderate Increase
AIPN,Moderate Increase
AIPT,Significant Increase
AIQ,Stable
AIR,Slight Increase
AIRB,Significant Decrease
AIRC,Stable
AIRE,Significant Decrease
AIRG,Slight Decrease
AIRI,Moderate Decrease
AIRL,Slight Increase
AIRM,Slight Decrease
AIRS,Moderate Increase
AIRT,Slight Decrease
AIRV,Significant Decrease
AIS,Significant Increase
AISX,Significant Decrease
AIT,Slight Increase
AIU,Slight Decrease
AIX,Moderate Increase
AIXD,Moderate Increase
AIZ,Stable
AJ,Moderate Increase
AJAC,Moderate Decrease
AJAY,Moderate Decrease
AJG,Slight Decrease
AJGC,Slight Decrease
AJRD,Moderate Decrease
AJRL,Significant Decrease
AJT,Stable
AJX,Significant Decrease
AK,Slight Decrease
AKA,Moderate Decrease
AKAM,Slight Decrease
AKAO,Significant Decrease
AKBA,Significant Increase
AKC,Moderate Decrease
AKCA,Significant Increase
AKER,Slight Decrease
AKI,Significant Decrease
AKLM,Significant Decrease
AKN,Moderate Increase
AKRN,Moderate Increase
AKRO,Significant Increase
AKRX,Moderate Increase
AKS,Moderate Decrease
AKST,Moderate Increase
AKSY,Significant Decrease
AKTS,Moderate Increase
AKU,Slight Decrease
AKUS,Significant Decrease
AKYA,Slight Decrease
AL,Stable
ALA,Slight Decrease
ALAB,Slight Decrease
ALAN,Moderate Decrease
ALAR,Moderate Increase
ALAS,Slight Increase
ALB,Slight Decrease
ALBC,Slight Decrease
ALBI,Moderate Increase
ALBK,Stable
ALBN,Moderate Increase
ALBO,Moderate Increase
ALBR,Moderate Decrease
ALBY,Slight Decrease
ALC,Moderate Decrease
ALCC,Moderate Decrease
ALCD,Moderate Increase
ALCI,Slight Decrease
ALCM,Moderate Decrease
ALCO,Significant Decrease
ALCR,Slight Increase
ALCS,Significant Decrease
ALD,Moderate Increase
ALDA,Moderate Increase
ALDB,Moderate Decrease
ALDC,Moderate Increase
ALDR,Moderate Increase
ALDX,Slight Decrease
ALE,Stable
ALEC,Moderate Decrease
ALES,Significant Decrease
ALET,Moderate Decrease
ALEX,Slight Decrease
ALF,Significant Decrease
ALFA,Significant Increase
ALFC,Stable
ALFD,Moderate Decrease
ALFM,Moderate Increase
ALFN,Stable
ALFO,Moderate Decrease
ALG,Moderate Increase
ALGH,Slight Decrease
ALGI,Significant Decrease
ALGM,Moderate Increase
ALGN,Slight Decrease
ALGO,Significant Increase
ALGR,Moderate Increase
ALGS,Significant Decrease
ALGT,Moderate Increase
ALGX,Slight Increase
ALHC,Stable
ALHY,Significant Increase
ALI,Slight Decrease
ALIF,Significant Decrease
ALIM,Significant Increase
ALIT,Slight Increase
ALJ,Moderate Decrease
ALJJ,Moderate Decrease
ALK,Moderate Increase
ALKS,Slight Decrease
ALKT,Stable
ALL,Slight Decrease
ALLA,Significant Decrease
ALLB,Stable
ALLC,Stable
ALLE,Stable
ALLG,Stable
ALLI,Slight Decrease
ALLK,Significant Increase
ALLO,Significant Decrease
ALLP,Moderate Decrease
ALLR,Significant Decrease
ALLS,Significant Increase
ALLT,Moderate Decrease
ALLY,Slight Decrease
ALM,Moderate Increase
ALMC,Slight Increase
ALMI,Slight Decrease
ALMO,Slight Decrease
ALMR,Significant Decrease
ALN,Significant Decrease
ALNA,Slight Decrease
ALNC,Slight Decrease
ALNK,Significant Decrease
ALNT,Significant Decrease
ALNY,Significant Increase
ALO,Significant Decrease
ALOE,Moderate Increase
ALOG,Moderate Decrease
ALOT,Moderate Increase
ALOY,Significant Increase
ALPH,Moderate Decrease
ALPI,Moderate Decrease
ALPN,Slight Decrease
ALPP,Moderate Increase
ALPS,Significant Decrease
ALQA,Significant Decrease
ALQT,Significant Increase
ALR,Significant Decrease
ALRC,Moderate Decrease
ALRM,Stable
ALRN,Moderate Increase
ALRS,Slight Decrease
ALRT,Moderate Increase
ALS,Moderate Increase
ALSE,Significant Decrease
ALSI,Stable
ALSK,Slight Decrease
ALSM,Significant Decrease
ALSN,Slight Increase
ALST,Significant Decrease
ALT,Moderate Decrease
ALTA,Moderate Decrease
ALTC,Significant Decrease
ALTD,Moderate Increase
ALTE,Moderate Decrease
ALTG,Significant Increase
ALTH,Significant Increase
ALTI,Moderate Increase
ALTM,Slight Decrease
ALTN,Stable
ALTO,Moderate Decrease
ALTP,Moderate Increase
ALTR,Stable
ALTS,Moderate Increase
ALTU,Significant Decrease
ALTV,Moderate Increase
ALTX,Significant Decrease
ALU,Slight Decrease
ALUR,Significant Increase
ALUS,Significant Increase
ALV,Moderate Increase
ALVL,Slight Decrease
ALVR,Moderate Increase
ALW,Moderate Increase
ALWC,Slight Decrease
ALWS,Significant Decrease
ALX,Moderate Increase
ALXA,Significant Decrease
ALXN,Stable
ALXO,Significant Decrease
ALY,Slight Increase
ALYN,Significant Decrease
ALYS,Significant Decrease
ALYX,Significant Decrease
ALZN,Significant Decrease
AM,Slight Increase
AMA,Slight Decrease
AMAB,Slight Decrease
AMAC,Slight Decrease
AMAG,Significant Increase
AMAL,Stable
AMAR,Moderate Decrease
AMAT,Significant Decrease
AMB,Moderate Decrease
AMBC,Slight Decrease
AMBI,Significant Increase
AMBJ,Moderate Increase
AMBK,Slight Decrease
AMBR,Moderate Increase
AMBT,Significant Decrease
AMC,Moderate Increase
AMCA,Significant Decrease
AMCC,Slight Increase
AMCE,Slight Decrease
AMCF,Slight Decrease
AMCI,Slight Decrease
AMCN,Slight Increase
AMCO,Significant Decrease
AMCP,Stable
AMCR,Significant Increase
AMCS,Moderate Increase
AMCV,Moderate Decrease
AMCX,Stable
AMD,Moderate Decrease
AMDA,Stable
AMDC,Significant Decrease
AMDV,Moderate Increase
AME,Slight Increase
AMEA,Significant Decrease
AMED,Moderate Decrease
AMEH,Slight Decrease
AMEI,Significant Decrease
AMEN,Moderate Decrease
AMEP,Moderate Decrease
AMER,Slight Increase
AMES,Significant Decrease
AMET,Moderate Increase
AMEV,Moderate Decrease
AMF,Stable
AMFB,Stable
AMFC,Slight Decrease
AMFD,Moderate Increase
AMFF,Slight Decrease
AMFH,Slight Decrease
AMFI,Slight Decrease
AMFM,Moderate Increase
AMFN,Significant Decrease
AMG,Moderate Decrease
AMGD,Slight Increase
AMGI,Significant Decrease
AMGN,Moderate Decrease
AMGP,Slight Decrease
AMGR,Significant Increase
AMH,Stable
AMHC,Significant Decrease
AMHD,Moderate Decrease
AMI,Moderate Increase
AMIC,Significant Increase
AMIE,Moderate Decrease
AMII,Moderate Increase
AMIN,Significant Decrease
AMIR,Moderate Decrease
AMIS,Slight Decrease
AMK,Moderate Increase
AMKR,Moderate Decrease
AMKT,Slight Decrease
AML,Significant Increase
AMLE,Moderate Increase
AMLJ,Significant Increase
AMLL,Significant Increase
AMLN,Moderate Increase
AMLT,Moderate Increase
AMLX,Significant Increase
AMM,Significant Decrease
AMMA,Significant Increase
AMMB,Stable
AMMD,Slight Increase
AMMG,Slight Increase
AMMI,Moderate Increase
AMMS,Slight Increase
AMMT,Significant Increase
AMN,Moderate Decrease
AMNB,Slight Decrease
AMNT,Significant Increase
AMNU,Significant Decrease
AMO,Moderate Increase
AMOO,Slight Decrease
AMOS,Slight Decrease
AMOT,Stable
AMP,Slight Decrease
AMPB,Stable
AMPBA,Stable
AMPBB,Stable
AMPC,Moderate Increase
AMPD,Moderate Decrease
AMPE,Significant Increase
AMPG,Slight Increase
AMPH,Moderate Increase
AMPI,Slight Decrease
AMPL,Slight Decrease
AMPLA,Slight Increase
AMPS,Stable
AMPX,Significant Decrease
AMPY,Significant Decrease
AMQ,Significant Decrease
AMR,Significant Decrease
AMRB,Slight Decrease
AMRC,Slight Decrease
AMRD,Moderate Decrease
AMRE,Significant Decrease
AMRF,Significant Decrease
AMRH,Slight Decrease
AMRI,Stable
AMRK,Moderate Decrease
AMRN,Stable
AMRS,Moderate Decrease
AMRX,Moderate Decrease
AMS,Slight Decrease
AMSC,Moderate Increase
AMSE,Moderate Increase
AMSF,Moderate Increase
AMSG,Slight Decrease
AMSGA,Stable
AMSH,Moderate Increase
AMSI,Significant Increase
AMSK,Stable
AMSR,Slight Decrease
AMST,Significant Increase
AMSWA,Moderate Decrease
AMSY,Significant Increase
AMT,Slight Decrease
AMTA,Significant Decrease
AMTB,Slight Decrease
AMTC,Significant Increase
AMTD,Stable
AMTI,Slight Decrease
AMTK,Significant Decrease
AMTL,Slight Decrease
AMTR,Moderate Decrease
AMTV,Significant Increase
AMTX,Moderate Decrease
AMTY,Significant Increase
AMV,Significant Decrease
AMVC,Significant Decrease
AMW,Significant Decrease
AMWD,Moderate Increase
AMWE,Moderate Increase
AMWI,Slight Decrease
AMWL,Moderate Decrease
AMX,Moderate Increase
AMXC,Significant Increase
AMXI,Moderate Decrease
AMXX,Slight Decrease
AMY,Moderate Increase
AMZ,Stable
AMZG,Significant Decrease
AMZN,Moderate Increase
AN,Moderate Decrease
ANA,Stable
ANAB,Moderate Decrease
ANAC,Significant Increase
ANAD,Moderate Decrease
ANAT,Stable
ANBC,Slight Decrease
ANBK,Stable
ANCB,Stable
ANCC,Significant Increase
ANCI,Significant Decrease
ANCO,Slight Decrease
ANCR,Significant Increase
ANCX,Slight Decrease
AND,Moderate Increase
ANDA,
ANDB,Slight Decrease
ANDE,Slight Decrease
ANDG,Slight Decrease
ANDO,Moderate Increase
ANDR,Significant Decrease
ANDS,Slight Decrease
ANDW,Significant Increase
ANDY,Significant Decrease
ANE,Moderate Increase
ANEB,Significant Decrease
ANEN,Moderate Increase
ANET,Moderate Increase
ANF,Significant Increase
ANFI,Significant Increase
ANG,Moderate Increase
ANGI,Moderate Increase
ANGN,Significant Decrease
ANGO,Stable
ANGS,Moderate Increase
ANIC,Significant Increase
ANIK,Slight Decrease
ANIP,Significant Increase
ANIX,Moderate Increase
ANK,Moderate Decrease
ANKN,Moderate Increase
ANLG,Significant Increase
ANLY,Slight Decrease
ANME,Significant Decrease
ANN,Moderate Decrease
ANNA,Significant Decrease
ANNB,Stable
ANNX,Stable
ANP,Significant Decrease
ANPC,Slight Decrease
ANPI,Slight Decrease
ANR,Stable
ANRG,Significant Decrease
ANS,Stable
ANSI,Slight Decrease
ANSL,Slight Decrease
ANSN,Significant Decrease
ANSR,Moderate Increase
ANSS,Slight Decrease
ANST,Moderate Increase
ANSV,Significant Decrease
ANSW,Moderate Decrease
ANSY,Significant Increase
ANT,Stable
ANTA,Moderate Decrease
ANTC,Significant Decrease
ANTH,Significant Decrease
ANTM,Slight Decrease
ANTP,Significant Decrease
ANTQ,Significant Decrease
ANTR,Significant Decrease
ANTS,Significant Increase
ANTX,Significant Decrease
ANU,Stable
ANUC,Slight Decrease
ANUH,Significant Increase
ANV,Significant Decrease
ANVS,Significant Decrease
ANWI,Moderate Decrease
ANX,Stable
AO,Slight Decrease
AOBC,Slight Increase
AOC,Stable
AOG,Significant Decrease
AOGC,Moderate Decrease
AOI,Slight Increase
AOL,Slight Decrease
AOLA,Significant Decrease
AON,Slight Decrease
AONE,Significant Decrease
AOPT,Slight Increase
AOR,Slight Increase
AORGB,Moderate Increase
AORI,Significant Increase
AORT,Stable
AOS,Moderate Increase
AOT,Stable
AOTI,Moderate Increase
AOUT,Slight Decrease
AOX,Moderate Increase
AP,Slight Increase
APA,Moderate Decrease
APAB,Moderate Decrease
APAC,Significant Decrease
APAM,Significant Decrease
APAT,Significant Increase
APBI,Stable
APC,Moderate Increase
APCC,Moderate Decrease
APCH,Significant Increase
APCI,Moderate Decrease
APCO,Slight Decrease
APCS,Moderate Increase
APCX,Significant Decrease
APD,Stable
APDN,Significant Increase
APEC,Slight Decrease
APEI,Slight Decrease
APEN,Significant Increase
APEX,Stable
APFC,Moderate Increase
APFE,Moderate Decrease
APG,Stable
APGG,Slight Decrease
APGI,Stable
APGR,Moderate Increase
APGT,Significant Increase
APH,Significant Decrease
APHB,Significant Decrease
APHM,Moderate Increase
APHO,Moderate Increase
APHT,Significant Decrease
API,Slight Decrease
APIC,Moderate Increase
APIE,Stable
APKT,Significant Decrease
APL,Moderate Decrease
APLD,Moderate Decrease
APLE,Moderate Decrease
APLI,Moderate Increase
APLN,Slight Decrease
APLS,Moderate Decrease
APLT,Significant Decrease
APLX,Moderate Decrease
APLY,Significant Decrease
APM,Significant Decrease
APMC,Significant Decrease
APMCA,Significant Decrease
APMK,Moderate Decrease
APN,Moderate Increase
APNT,Moderate Increase
APO,Moderate Increase
APOD,Significant Decrease
APOG,Slight Increase
APOL,Moderate Increase
APOS,Moderate Decrease
APOW,Significant Increase
APP,Slight Increase
APPA,Significant Increase
APPB,Slight Decrease
APPF,Moderate Increase
APPH,Moderate Increase
APPL,Moderate Increase
APPM,Stable
APPN,Slight Decrease
APPS,Moderate Decrease
APPX,Significant Decrease
APPY,Moderate Decrease
APR,Significant Increase
APRE,Moderate Increase
APRI,Significant Increase
APRN,Significant Increase
APRS,Moderate Decrease
APS,Moderate Increase
APSG,Significant Decrease
APSI,Moderate Decrease
APSO,Moderate Decrease
APT,Moderate Decrease
APTI,Moderate Increase
APTM,Significant Decrease
APTS,Significant Decrease
APTV,Significant Increase
APTX,Moderate Decrease
APVO,Significant Decrease
APW,Slight Decrease
APWD,Moderate Increase
APWR,Slight Decrease
APX,Stable
APXT,Slight Decrease
APY,Moderate Decrease
APYX,Moderate Decrease
APZ,Slight Increase
AQ,Significant Decrease
AQA,Significant Increase
AQB,Slight Decrease
AQC,Moderate Increase
AQCR,Significant Decrease
AQIS,Stable
AQLA,Slight Increase
AQM,Moderate Increase
AQMS,Moderate Decrease
AQNT,Slight Decrease
AQP,Moderate Decrease
AQQ,Slight Decrease
AQQA,Significant Decrease
AQS,Stable
AQSI,Moderate Decrease
AQST,Significant Increase
AQTN,Slight Increase
AQUA,Significant Decrease
AQUX,Significant Decrease
AQXP,Significant Increase
AR,Significant Decrease
ARA,Slight Decrease
ARAC,Significant Decrease
